,Group,Class,PC1,PC2
0,Adygei.HO,PCA,13.4059094342068,83.6717286034429
1,Adygei.HO,PCA,1.40656317216615,81.953173426615
2,Adygei.HO,PCA,2.74590306583948,78.9097940948755
3,Adygei.HO,PCA,-10.4570490382319,66.5526334095801
4,Adygei.HO,PCA,7.34000458352348,90.7333212322877
5,Adygei.HO,PCA,23.7113552245857,97.8656694858053
6,Adygei.HO,PCA,18.2819786098693,102.465825957812
7,Adygei.HO,PCA,2.15431741923977,90.7848182524098
8,Armenian_Hemsheni.HO,PCA,51.7741748079528,77.6323562481757
9,Armenian_Hemsheni.HO,PCA,-32.8359131854011,40.7868696343278
10,Armenian_Hemsheni.HO,PCA,44.7440606845193,75.4121941903676
11,Armenian_Hemsheni.HO,PCA,55.4282944904386,72.6762173910394
12,Armenian_Hemsheni.HO,PCA,57.8259908994927,74.7061302204793
13,Armenian_Hemsheni.HO,PCA,45.5451873043339,64.228600893355
14,Armenian_Hemsheni.HO,PCA,52.5330940150802,77.8987091021242
15,Armenian_Hemsheni.HO,PCA,46.5548501354714,79.2186361050154
16,Georgian.HO,PCA,44.751131552215,81.9160668295579
17,Georgian.HO,PCA,36.8664449103499,65.5496107037539
18,Georgian.HO,PCA,48.8524211039662,73.7870395501882
19,Georgian.HO,PCA,49.7111987803283,75.9971629436623
20,Georgian.HO,PCA,43.9909124637947,76.1843360028712
21,Georgian.HO,PCA,33.2971027626877,86.504054481656
22,Georgian.HO,PCA,41.9819365579008,80.1641708775036
23,Georgian.HO,PCA,43.4223020813137,85.5121645151838
24,Georgian.HO,PCA,38.8727368703109,95.0618945504737
25,Georgian.HO,PCA,38.0153532561614,91.2847165904487
26,Georgian.HO,PCA,44.6789551386292,92.3389565745577
27,Georgian.HO,PCA,43.7424827292555,95.9162889957238
28,Georgian.HO,PCA,49.6402888482893,84.5213282931852
29,Adygei.HO,PCA,3.16636738692428,91.9005777322458
30,Mordovian.HO,PCA,-107.515601483614,13.6300749484995
31,Mordovian.HO,PCA,-112.155127325625,19.7565883410731
32,Mordovian.HO,PCA,-107.812161891179,22.141645100547
33,Mordovian.HO,PCA,-97.4677667084468,21.0818131454939
34,Mordovian.HO,PCA,-110.230125928711,15.6963375051785
35,Mordovian.HO,PCA,-106.669247861631,20.7804949655602
36,Mordovian.HO,PCA,-103.833786858722,24.2796651085722
37,Mordovian.HO,PCA,-111.847290901286,25.5055356608056
38,Mordovian.HO,PCA,-109.456129697549,19.4032286000992
39,Mordovian.HO,PCA,-115.10153348799,23.3840565562063
40,Mordovian.HO,PCA,-105.645136129228,12.7698476566072
41,Mordovian.HO,PCA,-105.748427113408,18.3650608810328
42,Mordovian.HO,PCA,-106.621174232246,13.7346119655252
43,Mordovian.HO,PCA,-120.207946290403,17.9414935926359
44,Mordovian.HO,PCA,-108.933676738199,18.7219809105608
45,Mordovian.HO,PCA,-110.131252593627,12.5062382524974
46,Mordovian.HO,PCA,-116.303637238452,9.12787868877928
47,Mordovian.HO,PCA,-113.889030855195,8.28444383849615
48,Mordovian.HO,PCA,-106.033535422654,17.3766601140395
49,Mordovian.HO,PCA,-116.207036809055,20.9734009766935
50,Mordovian.HO,PCA,-111.129575628107,10.882971644606
51,Mordovian.HO,PCA,-110.608616148094,15.8261438791181
52,Russian_Archangelsk_Krasnoborsky.HO,PCA,-124.759382058067,18.044105915951
53,Russian_Archangelsk_Krasnoborsky.HO,PCA,-101.829081244541,9.70250947092435
54,Russian_Archangelsk_Krasnoborsky.HO,PCA,-112.701940855217,8.82616677622916
55,Russian_Archangelsk_Krasnoborsky.HO,PCA,-123.382926441724,11.3478151316473
56,Russian_Archangelsk_Krasnoborsky.HO,PCA,-124.824926468606,12.3718360573548
57,Russian_Archangelsk_Krasnoborsky.HO,PCA,-118.57022889919,12.021834775119
58,Russian.HO,PCA,-108.967119082357,0.358483502422544
59,Russian.HO,PCA,-108.903620895895,0.615444045269276
60,Russian.HO,PCA,-100.952096207003,7.64090304204357
61,Russian.HO,PCA,-111.962363945863,-3.59860014363421
62,Russian.HO,PCA,-114.803091843265,1.14800680374172
63,Russian.HO,PCA,-116.902564832705,4.6253231380182
64,Russian.HO,PCA,-115.413985281334,4.49049947206283
65,Russian.HO,PCA,-117.602299465484,-3.96924997934971
66,Russian.HO,PCA,-117.225818405877,14.0530170867695
67,Russian.HO,PCA,-108.876135579174,4.74393328012313
68,Russian.HO,PCA,-105.309306240207,10.3904690672059
69,Russian.HO,PCA,-117.750064207101,2.36431140951539
70,Russian.HO,PCA,-110.341158013442,0.825871421297665
71,Russian.HO,PCA,-122.260165982181,7.82456871721438
72,Russian.HO,PCA,-98.4464989485818,10.1950149172227
73,Russian.HO,PCA,-110.50121768525,2.7655582901492
74,Russian.HO,PCA,-112.20868605076,0.292450326889767
75,Russian.HO,PCA,-107.074688233079,-1.6845315165188
76,Russian.HO,PCA,-105.548499697568,7.85933768899635
77,Russian.HO,PCA,-107.817812943972,5.69154237165943
78,Russian.HO,PCA,-116.857888497769,2.24019525061121
79,Russian.HO,PCA,-128.841417526174,-4.34591113903813
80,Russian.HO,PCA,-129.821011659889,-9.32642062408692
81,Russian.HO,PCA,-125.884389926014,-8.12468134877965
82,Russian.HO,PCA,-124.293447330974,-0.772683804759597
83,Russian.HO,PCA,-112.889679408762,-3.08535057441449
84,Russian.HO,PCA,-117.738803134463,-0.0423509240412761
85,Russian.HO,PCA,-107.901192279604,6.09834808639148
86,Russian.HO,PCA,-109.661192924297,5.54174872187623
87,Russian.HO,PCA,-107.402446823886,10.4799149148252
88,Russian.HO,PCA,-110.928453006037,9.1477472561128
89,Russian.HO,PCA,-108.255728764188,13.0450580462352
90,Russian.HO,PCA,-116.497353592508,-0.153861994182978
91,Russian.HO,PCA,-114.073394642155,3.96951062173251
92,Russian.HO,PCA,-111.191990045939,9.20753161485337
93,Russian.HO,PCA,-117.618291060519,3.87320877222913
94,Russian.HO,PCA,-104.186561601333,16.3870245973095
95,Russian.HO,PCA,-112.269907644282,8.71963036611002
96,Russian.HO,PCA,-107.092800564395,4.15966366912264
97,Russian.HO,PCA,-113.799252965991,2.10570436046411
98,Russian.HO,PCA,-119.979480379237,-1.13040188146608
99,Russian.HO,PCA,-118.389202084629,2.87662768202636
100,Russian.HO,PCA,-120.990201599977,5.36556264895102
101,Russian.HO,PCA,-106.861886743239,9.14098022528267
102,Russian.HO,PCA,-109.070894223616,1.35967166293929
103,Russian.HO,PCA,-116.145411499541,-0.818221477925343
104,Russian.HO,PCA,-120.214388363706,-5.76575611421457
105,Russian.HO,PCA,-122.162456735993,0.363106089822396
106,Russian.HO,PCA,-116.415340309847,6.92694476369995
107,Adygei.HO,PCA,13.4665259798819,86.3556792212408
108,Adygei.HO,PCA,12.4041163646336,93.0822604775602
109,Adygei.HO,PCA,12.1461251422818,84.6111143621169
110,Ukrainian.HO,PCA,-102.527854000908,-1.11068960886111
111,Ukrainian.HO,PCA,-113.625296108008,2.5488519975347
112,Ukrainian.HO,PCA,-110.800109086423,-2.18228985903951
113,Ukrainian.HO,PCA,-109.202437450222,2.57444636154518
114,Ukrainian_North.HO,PCA,-115.697690854326,-4.24565565833621
115,Ukrainian_North.HO,PCA,-102.946162299555,6.79911541941315
116,Ukrainian_North.HO,PCA,-118.397411999603,9.18156235191388
117,Ukrainian_North.HO,PCA,-101.264511941237,1.82947470006679
118,Ukrainian_North.HO,PCA,-104.768765596837,-5.24412873061516
119,Ukrainian_North.HO,PCA,-110.222525459033,3.21587205173103
120,Ukrainian_North.HO,PCA,-115.185836707843,-4.91828960566506
121,Ukrainian_North.HO,PCA,-101.824390113194,-13.3549301739074
122,Adygei.HO,PCA,8.81743260201834,94.3979231103422
123,Adygei.HO,PCA,3.24782317191038,88.4109015490934
124,Adygei.HO,PCA,10.3562182851179,95.4011464246944
125,French.HO,PCA,-85.7859163457851,-22.4387578294841
126,French.HO,PCA,-73.7924572440808,-22.7972096782814
127,French.HO,PCA,-75.643362021064,-22.1813157798676
128,French.HO,PCA,-81.7289123316558,-20.0496887595748
129,French.HO,PCA,-90.2495787625323,-24.1997785380681
130,French.HO,PCA,-69.3322882895469,-12.4996601446947
131,French.HO,PCA,-78.4260771300656,-25.9780515116117
132,French.HO,PCA,-86.0824936030388,-17.3483007014222
133,French.HO,PCA,-99.0885551943772,-14.5620147576835
134,French.HO,PCA,-81.5658284591686,-20.3508691287124
135,French.HO,PCA,-91.9096633997758,-26.2451487795717
136,French.HO,PCA,-72.4053381556445,-35.5426770283523
137,French.HO,PCA,-76.9835260580692,-17.2401613812691
138,French.HO,PCA,-82.8446489854904,-25.4094549333629
139,French.HO,PCA,-81.6925909729369,-22.7762802821496
140,French.HO,PCA,-84.2449134440397,-20.3875973322438
141,French.HO,PCA,-74.2308464911958,-23.52143750709
142,French_o.HO,PCA,-80.5604801391877,-25.2877548144676
143,French.HO,PCA,-80.8455396770793,-45.8849747899175
144,French.HO,PCA,-104.779526660026,-7.56612527610688
145,French.HO,PCA,-79.689324652646,-22.8296941197113
146,French.HO,PCA,-93.8962668492544,-18.9618669070696
147,French.HO,PCA,-58.4645616473882,-30.6201717624012
148,French.HO,PCA,-73.243693764705,-23.3074424670019
149,French.HO,PCA,-75.9542347186597,-24.3815744986355
150,French.HO,PCA,-71.7847751003386,-31.6848085179321
151,Druze.HO,PCA,100.048396501788,52.3242753485261
152,Druze.HO,PCA,107.470567861213,64.7212577807422
153,Druze.HO,PCA,91.9244575965562,58.311309779667
154,Druze.HO,PCA,100.641175836788,80.6609259376139
155,Druze.HO,PCA,96.1802138190302,45.8816918006275
156,Druze.HO,PCA,95.8767005286745,57.4891571040664
157,Druze.HO,PCA,100.757202026104,40.1097917494291
158,Druze.HO,PCA,94.1138258192594,58.4561342082494
159,Druze.HO,PCA,108.527822963618,64.6894613408995
160,Druze.HO,PCA,98.7756134463142,22.914184526629
161,Druze.HO,PCA,114.76401453361,67.4313133766067
162,Druze.HO,PCA,102.450519374187,93.035366338967
163,Druze.HO,PCA,97.5007310876265,57.4261502014771
164,Druze.HO,PCA,80.0198672287825,59.0984869053481
165,Druze.HO,PCA,106.839797441077,65.6698016335977
166,Druze.HO,PCA,97.9204332547243,57.2371082247284
167,Druze.HO,PCA,111.639386621353,75.5745149408851
168,Druze.HO,PCA,99.7497897647305,66.4269147394432
169,Druze.HO,PCA,107.057643204312,68.147957063062
170,Druze.HO,PCA,96.5180763621159,38.2078008650678
171,Druze.HO,PCA,86.1758355435265,19.1603240458483
172,Druze.HO,PCA,82.4556167142991,46.8575455981546
173,Druze.HO,PCA,99.4976718057653,48.3188071001132
174,Druze.HO,PCA,107.899216538862,89.6958123485172
175,Druze.HO,PCA,88.5375293685235,45.5555306498621
176,Druze.HO,PCA,94.5444427732595,25.2583273114353
177,Druze.HO,PCA,78.813256763241,33.9578598563247
178,Druze.HO,PCA,110.37358896588,75.7786000974166
179,Druze.HO,PCA,90.2518227567835,63.4565964444191
180,Druze.HO,PCA,98.2140409955166,47.3319193656846
181,Druze.HO,PCA,90.555862453495,69.2311059128139
182,Druze.HO,PCA,100.429260711365,45.7874592338472
183,Druze.HO,PCA,101.04976687645,52.3730332257774
184,Druze.HO,PCA,81.2533104180785,71.1539228064965
185,Druze.HO,PCA,85.440431312208,30.9623344757689
186,Druze.HO,PCA,109.604663407804,58.8619217650569
187,Druze.HO,PCA,77.8031906487671,33.2795130916124
188,Druze.HO,PCA,101.232053739246,72.7902933762661
189,Druze.HO,PCA,92.7885730142817,50.5426460785523
190,BedouinB.HO,PCA,245.317312495797,-217.009992929109
191,BedouinB.HO,PCA,200.354990204689,-122.938863137264
192,BedouinA.HO,PCA,177.554492350516,-34.7395592056443
193,BedouinB.HO,PCA,240.772645725006,-244.359923925023
194,BedouinA.HO,PCA,217.004636551763,-59.2804251705671
195,BedouinB.HO,PCA,252.10066427544,-258.929028253426
196,BedouinA.HO,PCA,148.921983270889,4.59904833171803
197,BedouinA.HO,PCA,178.191440330389,-14.171550887887
198,BedouinA.HO,PCA,164.495346121349,-17.0334867429888
199,BedouinB.HO,PCA,256.236573973316,-362.46093757522
200,BedouinB.HO,PCA,243.846408335729,-248.032928295765
201,BedouinA.HO,PCA,154.30129369468,-7.72346841015054
202,BedouinA.HO,PCA,207.627193704625,-34.3207677099898
203,BedouinA.HO,PCA,171.927371550773,-39.2273636760697
204,BedouinB.HO,PCA,249.337245315283,-235.424667590512
205,BedouinB.HO,PCA,237.77865930191,-200.234854462851
206,BedouinA.HO,PCA,153.5086713169,-48.2669701345616
207,BedouinA.HO,PCA,162.97379303854,-22.8500915164779
208,BedouinA.HO,PCA,166.402742984848,-30.3069343445559
209,BedouinA.HO,PCA,166.608373547719,-31.5559282547091
210,BedouinB.HO,PCA,254.779745533646,-284.624595757496
211,BedouinB.HO,PCA,253.135950062289,-255.585204458679
212,BedouinA.HO,PCA,202.872584275781,-49.5953866803174
213,BedouinA.HO,PCA,199.083152087657,-54.7571620578901
214,BedouinA.HO,PCA,171.031872416548,-18.964751183721
215,BedouinB.HO,PCA,224.417954051347,-174.158513023806
216,BedouinA.HO,PCA,185.16192468037,-19.5008324654236
217,BedouinA.HO,PCA,205.241736611694,-68.226537814014
218,BedouinA.HO,PCA,173.383714069956,-94.8641187548253
219,BedouinA.HO,PCA,204.386057642561,-52.9033892915397
220,BedouinB.HO,PCA,228.042912925722,-201.231408927952
221,BedouinA.HO,PCA,170.76228110195,-23.1376851226577
222,BedouinB.HO,PCA,228.126048470797,-212.466116181013
223,BedouinA.HO,PCA,144.626746511941,-1.26712064127455
224,BedouinA.HO,PCA,169.070878541234,-0.78785494318127
225,BedouinA.HO,PCA,233.089963416629,-74.8087882792666
226,BedouinA.HO,PCA,163.47716124313,-29.4257929907051
227,BedouinB.HO,PCA,225.27276678651,-218.095088812437
228,BedouinB.HO,PCA,244.891740146024,-261.460330455315
