,Genetic_ID,Master_ID,Data_source,Group_ID,political_entity,epoch,coverage
2202,STR266b_noUDG.SG,STR266b,Shotgun,Germany_EarlyMedieval.SG,Germany,Early Middle Ages (EMA),21772
2248,I2014,I2014,1240K,Germany_EN_LBK,Germany,Mesolithic,9116
5141,VK470_noUDG.SG,VK470,Shotgun,Russia_Viking.SG,Russia,Early Middle Ages (EMA),11481
6292,cth842_noUDG.SG,cth842,Shotgun,Turkey_Catalhoyuk_N_Ceramic.SG,Turkey,Mesolithic,14892
