Genetic_ID,Master_ID,Data_source,Group_ID,political_entity,epoch
ESZ003,ESZ003,1240K,Kazakhstan_Tasmola_Saka_IA,Kazakhstan,Middle Iron Age (MIA)
DA130_noUDG.SG,DA130,Shotgun,Kazakhstan_TianShan_Saka.SG,Kazakhstan,Late Iron Age (LIA)
DA224_noUDG.SG,I10141,Shotgun,Kazakhstan_Turk_Kangju_possibe.SG,Kazakhstan,Classical Antiquity (CA)
DA228_noUDG.SG,DA228,Shotgun,Kazakhstan_Turk.SG,Kazakhstan,Early Middle Ages (EMA)
DA89_noUDG.SG,DA89,Shotgun,Kazakhstan_Turk.SG,Kazakhstan,Early Middle Ages (EMA)
MMR001,MMR001,1240K,Kazakhstan_TurkicPossible_EIA,Kazakhstan,Late Iron Age (LIA)
DA201_noUDG.SG,I11524,Shotgun,Kazakhstan_Wusun_LateSaka.SG,Kazakhstan,Classical Antiquity (CA)
DA220_noUDG.SG,I10519,Shotgun,Kazakhstan_Wusun.SG,Kazakhstan,Late Iron Age (LIA)
DA223_noUDG.SG,DA223,Shotgun,Kazakhstan_Wusun.SG,Kazakhstan,Late Iron Age (LIA)
Ze6b.SG,Ze6b,Shotgun,Kazakhstan_ZevakinoChilikta_IA_2.SG,Kazakhstan,Middle Iron Age (MIA)
I3770,I3770,1240K,Kazakhstan_Zevakinskiy_BA,Kazakhstan,Chalcolithic (Copper Age) (C)
I3753,I3753,1240K,Kazakhstan_Zevakinskiy_LBA,Kazakhstan,Early Iron Age (EIA)
I3772,I3772,1240K,Kazakhstan_Zevakinskiy_LBA,Kazakhstan,Early Iron Age (EIA)
I3977,I3977,1240K,Kazakhstan_Zevakinskiy_LBA,Kazakhstan,Early Iron Age (EIA)
I4267,I4267,1240K,Kazakhstan_Zevakinskiy_LBA,Kazakhstan,Early Iron Age (EIA)
I4295,I4295,1240K,Kazakhstan_Zevakinskiy_LBA,Kazakhstan,Early Iron Age (EIA)
KNT001,KNT001,1240K,Kazakhstann_OtrarCulture_LIA,Kazakhstan,Classical Antiquity (CA)
KNT002,KNT002,1240K,Kazakhstann_OtrarCulture_LIA,Kazakhstan,Classical Antiquity (CA)
KNT003,KNT003,1240K,Kazakhstann_OtrarCulture_LIA,Kazakhstan,Classical Antiquity (CA)
BRV001,BRV001,1240K,Kazakstan_Sargat_IA,Kazakhstan,Classical Antiquity (CA)
ALN002,ALN002,1240K,Kyrgyzstan_AlaiNura_IA,Kyrgyzstan,Classical Antiquity (CA)
ALN003,ALN003,1240K,Kyrgyzstan_AlaiNura_IA,Kyrgyzstan,Classical Antiquity (CA)
ALN005,ALN005,1240K,Kyrgyzstan_AlaiNura_IA,Kyrgyzstan,Classical Antiquity (CA)
ALN006,ALN006,1240K,Kyrgyzstan_AlaiNura_IA,Kyrgyzstan,Late Iron Age (LIA)
ALN008,ALN008,1240K,Kyrgyzstan_AlaiNura_IA,Kyrgyzstan,Classical Antiquity (CA)
ALN009,ALN009,1240K,Kyrgyzstan_AlaiNura_IA,Kyrgyzstan,Classical Antiquity (CA)
I11526,I11526,1240K,Kyrgyzstan_Aygirdjal_BA,Kyrgyzstan,Chalcolithic (Copper Age) (C)
I11527,I11527,1240K,Kyrgyzstan_Aygirdjal_BA,Kyrgyzstan,Chalcolithic (Copper Age) (C)
BSK005,BSK005,1240K,Kyrgyzstan_Chuy_Burana_BlackDeath_Medieval,Kyrgyzstan,Late Middle Ages (LMA)
BSK004,BSK004,1240K,Kyrgyzstan_Chuy_Burana_BlackDeath_Medieval_oWestEurasian,Kyrgyzstan,Late Middle Ages (LMA)
BSK001,BSK001,1240K,Kyrgyzstan_Chuy_KaraDjigach_BlackDeath_Medieval,Kyrgyzstan,Late Middle Ages (LMA)
BSK003,BSK003,1240K,Kyrgyzstan_Chuy_KaraDjigach_BlackDeath_Medieval,Kyrgyzstan,Late Middle Ages (LMA)
BDY001,BDY001,1240K,Kyrgyzstan_Korgantas_IA_1,Kazakhstan,Late Iron Age (LIA)
BDY002,BDY002,1240K,Kyrgyzstan_Korgantas_IA_2,Kazakhstan,Late Iron Age (LIA)
BDY003,BDY003,1240K,Kyrgyzstan_Korgantas_IA_3,Kazakhstan,Late Iron Age (LIA)
DA116_noUDG.SG,DA116,Shotgun,Kyrgyzstan_Medieval_Nomad.SG,Kyrgyzstan,High Middle Ages (HMA)
DA118_noUDG.SG,DA118,Shotgun,Kyrgyzstan_Medieval_Nomad.SG,Kyrgyzstan,High Middle Ages (HMA)
DA99_noUDG.SG,DA99,Shotgun,Kyrgyzstan_Medieval_Nomad.SG,Kyrgyzstan,High Middle Ages (HMA)
DA117_noUDG.SG,DA117,Shotgun,Kyrgyzstan_Modern_Nomad.SG,Kyrgyzstan,Industrial Revolution (IR)
CHK001,CHK001,1240K,Kyrgyzstan_Saka_IA,Kyrgyzstan,Late Iron Age (LIA)
